T,L,E,Ms,Cv,chi_s,U,periodica,intento,tao
2.0,16,-141.9020444444607,0.05311414930555555,0.13030651848765729,0.10173683388792443,0.3188350480869958,False,1,5000
1.7,16,-153.21262222222006,0.05753072916666667,0.16189522871546524,0.1415609403186274,0.31353404047454736,False,1,5000
1.5,16,-162.22016888888874,0.06209904513888889,0.19231712093813436,0.18771729660365222,0.3157234554778978,False,1,5000
1.3,16,-173.3313777777772,0.06949305555555556,0.24965883950618986,0.27746352148622977,0.2970345997737167,False,1,5000
1.2,16,-180.3503111111107,0.07675277777777778,0.29638778547239003,0.3670544578446502,0.29613205693312195,False,1,5000
1.1,16,-188.80652444444576,0.08655633680555555,0.3696266761667485,0.5085428983568324,0.295233350405252,False,1,5000
1.0,16,-199.77579555555516,0.10348289930555556,0.49636707261450397,0.8242568438869595,0.2838556649404933,False,1,5000
0.9,16,-214.59943999999976,0.14079088541666668,0.691668619886957,1.6974172305362651,0.2951866266913262,False,1,5000
0.8,16,-234.7817333333201,0.2207215277777778,0.7949193393012698,4.260476671141973,0.4247383411630825,False,1,5000
0.7,16,-251.12705777770537,0.3296236111111111,0.4779859861194925,4.972638487389775,0.5835691489434808,False,1,5000
0.5,16,-263.53695999998916,0.44033727678571427,0.10618233417199008,0.27200422140306557,0.6632115980419191,False,1,15000
0.3,16,-267.2799085714273,0.4702589285714286,0.053668491700717726,0.1748673426870558,0.6654738791587431,False,1,15000
0.1,16,-269.79564571428455,0.49797488839285714,0.03146045096400484,0.021116198182369317,0.6666227181481157,False,1,15000
